question,option_a,option_b,option_c,option_d,correct_answer,category,difficulty,source
Hakeem Olajuwon is a former Nigerian-American basketball legend. Which NBA team did he primarily play for?,Houston Rockets,New York Knicks,Toronto Raptors,Los Angeles Lakers,A,sports,easy,General Knowledge
Peter Ofori-Quaye scored a UEFA Champions League goal at age 17 for which club?,Barcelona,Marseille,Monaco,PSG,B,sports,hard,General Knowledge
The Afrobeats star known as 'Odogwu' is who?,Burna Boy,Wizkid,Davido,Rema,A,culture,easy,General Knowledge
Chimamanda Ngozi Adichie is from which Nigerian state?,Anambra,Enugu,Imo,Abia,A,culture,medium,General Knowledge
The Nigerian currency features the portrait of which founding father on the highest denomination note?,Nnamdi Azikiwe (on the N500),Tafawa Balewa,Obafemi Awolowo,All three on different notes,D,culture,medium,General Knowledge
The Nok terracotta figurines found in Nigeria date back to approximately what period?,500 BC to 200 AD,1000 BC to 500 BC,200 AD to 700 AD,1200 to 800 BC,A,culture,hard,General Knowledge
Tuface (2face) Idibia's breakthrough album was titled what?,Face 2 Face,True Love,Grass 2 Grace,Rainbow,A,culture,medium,General Knowledge
Which Nigerian writer authored the play 'Death and the King's Horseman'?,Wole Soyinka,Chinua Achebe,J.P. Clark,Ola Rotimi,A,culture,medium,General Knowledge
Afang soup is a traditional dish from which Nigerian ethnic group?,Efik/Ibibio,Yoruba,Igbo,Hausa,A,culture,medium,General Knowledge
Egusi soup is made from the seeds of which plant?,Melon/gourd,Pumpkin,Cucumber,Watermelon,A,culture,medium,General Knowledge
The traditional Hausa wedding gift-giving ceremony is known as what?,Kayan Lefe,Eru Iyawo,Ime Ego,Iku Aro,A,culture,hard,General Knowledge
King Sunny Ade is known for which style of music?,Juju,Fuji,Afrobeats,Highlife,A,culture,medium,General Knowledge
The State Security Service (SSS) in Nigeria is also known by what name?,Department of State Services (DSS),National Intelligence Agency,State Intelligence Bureau,National Security Bureau,A,government,medium,General Knowledge
Nigeria's National Intelligence Agency (NIA) is responsible for what?,Foreign intelligence,Domestic security,Police oversight,Counter-terrorism,A,government,hard,General Knowledge
The Nigerian Law School is located in which cities?,Lagos and Abuja (main campuses),Only in Lagos,Only in Abuja,In all state capitals,A,government,medium,General Knowledge
The Petroleum Industry Act (PIA) was signed into law in which year?,2021,2018,2019,2023,A,government,medium,General Knowledge
Who signed the Petroleum Industry Act into law?,Muhammadu Buhari,Goodluck Jonathan,Bola Tinubu,Olusegun Obasanjo,A,government,medium,General Knowledge
Nigeria's Universal Basic Education (UBE) policy provides free education for how many years?,9,6,12,3,A,government,medium,General Knowledge
The National Youth Service Corps (NYSC) programme was established in which year?,1973,1970,1976,1979,A,government,medium,General Knowledge
NYSC was established by which military leader?,Yakubu Gowon,Murtala Mohammed,Olusegun Obasanjo,Ibrahim Babangida,A,government,medium,General Knowledge
The National Boundary Commission in Nigeria is responsible for what?,Defining and managing boundaries,Electoral boundaries only,International borders only,Census boundaries,A,government,hard,General Knowledge
Nigeria's National Health Insurance Scheme (NHIS) was established in which year?,1999,2005,2003,2010,A,government,hard,General Knowledge
Aliko Dangote's net worth has made him consistently one of the richest people in which category?,Africa,Sub-Saharan Africa only,The Arab world,The whole world,A,current_affairs,easy,General Knowledge
Nigeria surpassed South Africa to become Africa's largest economy by GDP in which year?,2014,2010,2016,2018,A,current_affairs,medium,General Knowledge
The Nigerian Stock Exchange was rebranded to what in 2021?,NGX Group,NSE Holdings,Nigeria Exchange Group,Nigerian Capital Market,C,current_affairs,hard,General Knowledge
MTN Nigeria was listed on the Nigerian Stock Exchange in which year?,2019,2017,2021,2015,A,current_affairs,medium,General Knowledge
The Central Bank of Nigeria's cashless policy was primarily aimed at reducing what?,Cash transactions,Inflation,Unemployment,Corruption,A,current_affairs,medium,General Knowledge
Nigeria's Cowrywise is classified as what type of startup?,Fintech,Edtech,Healthtech,Agritech,A,current_affairs,medium,General Knowledge
"PiggyVest, a Nigerian savings app, was originally called what?",Piggybank.ng,SaveNow,MoneyBox Nigeria,PiggySave,A,current_affairs,hard,General Knowledge
The Nigerian railway concession awarded to a Chinese company covers which major routes?,Lagos-Ibadan and Abuja-Kaduna,Lagos-Abuja only,Kano-Lagos,Port Harcourt-Enugu,A,current_affairs,hard,General Knowledge
The Lagos-Ibadan expressway expansion project is partly funded by which organisation?,African Development Bank,World Bank,IMF,China Exim Bank,A,current_affairs,hard,General Knowledge
Nigeria's Edo State is the centre of production for which major cultural export?,Afrobeats music,Nollywood films,Traditional art and bronzes,Fashion and textiles,C,current_affairs,medium,General Knowledge
The Berlin West Africa Conference result placed which territory under British influence?,Nigeria,Cameroon,Ghana,Sierra Leone,A,history,hard,General Knowledge
Mary Slessor was a Scottish missionary who worked in which part of Nigeria?,Calabar (Cross River),Lagos,Kano,Ibadan,A,history,medium,General Knowledge
"The first secondary school in Nigeria, CMS Grammar School, was founded in which year?",1859,1870,1849,1880,A,history,hard,General Knowledge
King Jaja of Opobo was exiled by the British to which country?,West Indies,South Africa,Britain,India,A,history,hard,General Knowledge
The Kano Riot of 1953 was triggered by which political event?,Self-government motion in the House of Representatives,Independence declaration,Military coup,Regional elections,A,history,hard,General Knowledge
The Action Group party was founded by which Nigerian statesman?,Obafemi Awolowo,Nnamdi Azikiwe,Tafawa Balewa,Samuel Akintola,A,history,medium,General Knowledge
The Northern Peoples Congress was led by which Nigerian leader?,Ahmadu Bello,Tafawa Balewa,Muhammadu Ribadu,Ibrahim Waziri,A,history,medium,General Knowledge
Nigeria's first census was conducted in which year?,1866,1900,1952,1931,C,history,hard,General Knowledge
The 'Kano City Walls' date back to which approximate period?,14th century,10th century,16th century,12th century,A,history,hard,General Knowledge
Which traditional Yoruba city is considered the oldest in Nigeria?,Ile-Ife,Ibadan,Abeokuta,Oyo,A,history,hard,General Knowledge
The Durbar festival is celebrated in which region of Nigeria?,Northern Nigeria,Southern Nigeria,Eastern Nigeria,Western Nigeria,A,culture,easy,General Knowledge
Fela Kuti's music genre that blended jazz and traditional music was called what?,Afrobeat,Afrobeats,Juju,Highlife,A,culture,medium,General Knowledge
The Olumo Rock is a famous landmark in which Nigerian city?,Abeokuta,Ibadan,Ife,Ondo,A,culture,easy,General Knowledge
Wole Soyinka was the first Black African to win the Nobel Prize in Literature. His play 'The Lion and the Jewel' is set in what kind of environment?,A small Yoruba village,A Lagos city,An Igbo marketplace,A Hausa emirate,A,culture,hard,General Knowledge
"The Calabar Carnival, sometimes called Africa's Biggest Street Party, is held in which month?",December,October,August,February,A,culture,medium,General Knowledge
The highlife music genre popular in Nigeria originated from which country?,Ghana,Nigeria,Sierra Leone,Liberia,A,culture,hard,General Knowledge
What is the staple food most associated with the Igbo people of Nigeria?,Yam,Rice,Cassava,Corn,A,culture,easy,General Knowledge
Afrobeats star Wizkid's full name is?,Ayodeji Ibrahim Balogun,Chukwuemeka Owumi,Adewale Ayuba,Oluwatobiloba Daniel,A,culture,medium,General Knowledge
The Osun River flows through which major Nigerian city before entering the Atlantic?,Ijebu-Ode,Ibadan,Osogbo,Ile-Ife,C,culture,hard,General Knowledge
Agbada is a traditional garment worn across Nigeria and West Africa. It is most associated with which group?,Yoruba and Hausa men,Igbo women,Efik men,Tiv people,A,culture,medium,General Knowledge
The Nigerian House of Representatives has how many seats?,360,400,300,320,A,government,easy,General Knowledge
The President of the Senate in Nigeria's 10th Assembly (from 2023) is who?,Godswill Akpabio,Ahmed Lawan,Bukola Saraki,Chukwuemeka Nwajiuba,A,government,medium,General Knowledge
The Speaker of Nigeria's House of Representatives from 2023 is who?,Tajudeen Abbas,Femi Gbajabiamila,Yakubu Dogara,Aminu Tambuwal,A,government,medium,General Knowledge
The Nigerian Meteorological Agency (NiMet) is under which ministry?,Ministry of Aviation,Ministry of Environment,Ministry of Science,Ministry of Water Resources,A,government,medium,General Knowledge
How many geo-political zones make up Nigeria?,6,4,7,5,A,government,easy,General Knowledge
The National Drug Law Enforcement Agency (NDLEA) was established in which year?,1990,1985,1993,1999,A,government,medium,General Knowledge
The Federal Road Safety Corps (FRSC) was established by which law?,Decree 45 of 1988,Act 5 of 1990,Decree 32 of 1992,Act 10 of 1985,A,government,hard,General Knowledge
The Securities and Exchange Commission of Nigeria regulates what?,Capital markets,Banking,Insurance,Pensions,A,government,medium,General Knowledge
The Corporate Affairs Commission (CAC) registers what in Nigeria?,Companies and businesses,Land titles,Motor vehicles,Trademarks only,A,government,easy,General Knowledge
The Nigerian Ports Authority is under which ministry?,Ministry of Transportation,Ministry of Finance,Ministry of Trade,Ministry of Petroleum,A,government,medium,General Knowledge
Which Nigerian became the first African president of the World Trade Organization?,Ngozi Okonjo-Iweala,Obiageli Ezekwesili,Amina Mohammed,Akinwumi Adesina,A,current_affairs,medium,General Knowledge
Akinwumi Adesina is the president of which pan-African financial institution?,African Development Bank,African Union Development Agency,African Export-Import Bank,Eastern and Southern African Trade and Development Bank,A,current_affairs,medium,General Knowledge
Ngozi Okonjo-Iweala served as Finance Minister of Nigeria under which presidents?,Obasanjo and Jonathan,Jonathan and Buhari,Obasanjo and Buhari,Jonathan only,A,current_affairs,medium,General Knowledge
The EndBadGovernance protests in Nigeria took place in which year?,2024,2023,2022,2025,A,current_affairs,medium,General Knowledge
The petrol subsidy removal by President Tinubu in 2023 led to fuel prices increasing by approximately how much?,300%,50%,100%,200%,A,current_affairs,hard,General Knowledge
Which Nigerian billionaire owns Access Bank?,Herbert Wigwe,Tony Elumelu,Jim Ovia,Femi Otedola,A,current_affairs,medium,General Knowledge
Tony Elumelu is associated with which Nigerian bank?,UBA (United Bank for Africa),Zenith Bank,GTBank,First Bank,A,current_affairs,medium,General Knowledge
The Lagos-Badagry expressway expansion is part of which larger West African road network?,Trans-West African Coastal Highway,ECOWAS Highway A1,Trans-Sahara Highway,ECOWAS Coastal Route,A,current_affairs,hard,General Knowledge
Nigeria's Eko Atlantic City is being built off the coast of which area of Lagos?,Victoria Island,Lekki,Apapa,Ikoyi,A,current_affairs,medium,General Knowledge
The term 'Japa' in Nigerian parlance refers to what phenomenon?,Emigration from Nigeria abroad,Dancing at parties,Street hawking,Protest movements,A,current_affairs,easy,General Knowledge
The Fulani people are predominantly found in which part of Nigeria?,Northern Nigeria,Southern Nigeria,Eastern Nigeria,Coastal Nigeria,A,culture,easy,General Knowledge
What is the official language of Nigeria?,English,Hausa,Yoruba,Igbo,A,government,easy,General Knowledge
The Niger Delta region is important to Nigeria because of what?,Oil production,Agricultural production,Mining of gold,Tourism,A,current_affairs,easy,General Knowledge
Which river gives Nigeria part of its name?,Niger River,Benue River,Sokoto River,Gongola River,A,history,easy,General Knowledge
The name 'Nigeria' was coined by whom?,Flora Shaw,Lord Lugard,Mary Slessor,Herbert Macaulay,A,history,medium,General Knowledge
Flora Shaw who coined the name 'Nigeria' was a journalist for which newspaper?,The Times of London,The Guardian,Daily Telegraph,Financial Times,A,history,hard,General Knowledge
Nigeria's National Day is celebrated on which date?,October 1,January 1,May 29,June 12,A,government,easy,General Knowledge
May 29 in Nigeria is celebrated as what?,Democracy Day,Independence Day,Republic Day,Armed Forces Day,A,government,easy,General Knowledge
The largest ethnic group in Nigeria is which?,Hausa-Fulani,Yoruba,Igbo,Ijaw,A,culture,easy,General Knowledge
Which Nigerian city is known as the 'Centre of Excellence'?,Lagos,Abuja,Port Harcourt,Kano,A,current_affairs,easy,General Knowledge
Port Harcourt is the capital of which Nigerian state?,Rivers,Delta,Bayelsa,Imo,A,government,easy,General Knowledge
Kano is located in which geopolitical zone of Nigeria?,North West,North Central,North East,North East,A,government,easy,General Knowledge
The Benue River is a tributary of which major river?,Niger River,Congo River,Volta River,Senegal River,A,history,medium,General Knowledge
Lake Chad borders Nigeria to which direction?,Northeast,Northwest,North,Southeast,A,history,medium,General Knowledge
The NDDC (Niger Delta Development Commission) was established to develop which region?,Niger Delta,North Central,Southeast,Southwest,A,government,easy,General Knowledge
"Nollywood produces approximately how many films per year, making it the world's second largest film industry by volume?","2,500",500,"1,000","5,000",A,culture,medium,General Knowledge
The Nigerian music genre 'Fuji' is associated with which state?,Lagos (Yoruba culture),Kano,Anambra,Benue,A,culture,hard,General Knowledge
Tunde Kelani is a prominent figure in which Nigerian creative industry?,Film (Nollywood),Music,Fashion,Theatre,A,culture,medium,General Knowledge
The University of Lagos (UNILAG) was established in which year?,1962,1958,1967,1970,A,government,medium,General Knowledge
The Obafemi Awolowo University is located in which city?,Ile-Ife,Ibadan,Osogbo,Abeokuta,A,government,medium,General Knowledge
"University of Nigeria, Nsukka was founded by which Nigerian statesman?",Nnamdi Azikiwe,Obafemi Awolowo,Tafawa Balewa,Ahmadu Bello,A,history,medium,General Knowledge
Ahmadu Bello University in Zaria was associated with which Northern leader?,Ahmadu Bello,Tafawa Balewa,Muhammadu Ribadu,Maitama Sule,A,history,medium,General Knowledge
The first oil well in Nigeria was drilled in which year?,1956,1950,1960,1970,A,history,medium,General Knowledge
The first oil well in Nigeria was drilled in which location?,"Oloibiri, Bayelsa",Port Harcourt,Warri,Bonny,A,history,hard,General Knowledge
Shell-BP discovered oil in Nigeria. Shell is a company from which country?,Netherlands/UK,USA,France,Germany,A,history,hard,General Knowledge
"The Trans-Saharan gas pipeline, a proposed project, would connect Nigeria to which continent via Algeria?",Europe,Asia,Middle East,North America,A,current_affairs,hard,General Knowledge
"Nigeria's first satellite, NigeriaSat-1, was launched in which year?",2003,2000,2006,2010,A,current_affairs,hard,General Knowledge
The Nigerian Space Research and Development Agency (NASRDA) is headquartered in which city?,Abuja,Lagos,Zaria,Jos,A,government,hard,General Knowledge
Which Nigerian state is known as 'The Sunshine State'?,Ondo,Osun,Ogun,Oyo,A,government,easy,General Knowledge
Enugu State is nicknamed what?,The Coal City State,The Garden State,The Rock State,The River State,A,government,easy,General Knowledge
Cross River State's capital is which city?,Calabar,Uyo,Aba,Eket,A,government,easy,General Knowledge
The Slave Trade Abolition Act of 1807 had a significant impact on which part of Nigeria?,The Niger Delta and Coastal regions,The Northern region,The Plateau region,All equally,A,history,hard,General Knowledge
The Yoruba Wars of the 19th century were largely resolved by which British-brokered agreement?,The 1886 peace treaty,The Lagos Convention,The Ibadan Accord,The Abeokuta Peace,A,history,hard,General Knowledge
Which ethnic group is associated with the Ogoni people's environmental activism?,Ogoni (Niger Delta),Ijaw,Urhobo,Itsekiri,A,current_affairs,medium,General Knowledge
Ken Saro-Wiwa was executed by Sani Abacha's government in which year?,1995,1993,1997,1999,A,history,medium,General Knowledge
Ken Saro-Wiwa was an activist for the rights of which Nigerian community?,Ogoni,Ijaw,Ibibio,Efik,A,history,medium,General Knowledge
The Chibok schoolgirls were kidnapped by Boko Haram in which year?,2014,2012,2016,2015,A,current_affairs,easy,General Knowledge
Approximately how many Chibok schoolgirls were abducted by Boko Haram?,276,150,300,200,A,current_affairs,medium,General Knowledge
The #BringBackOurGirls campaign was popularised globally by which person among others?,Michelle Obama,Hillary Clinton,Malala Yousafzai,Oprah Winfrey,A,current_affairs,medium,General Knowledge
"The Sambisa Forest, a Boko Haram stronghold, is located in which Nigerian state?",Borno,Yobe,Adamawa,Gombe,A,current_affairs,medium,General Knowledge
ISWAP stands for what in the context of Nigerian insurgency?,Islamic State West Africa Province,Islamic Soldiers West Africa Province,Islamic State Western Africa Program,Islamic State West Africa Party,A,current_affairs,hard,General Knowledge
Nigeria's Lake Chad region is shared by Nigeria and which other three countries?,"Chad, Niger, Cameroon","Chad, Niger, Mali","Chad, Cameroon, Sudan","Niger, Mali, Chad",A,current_affairs,medium,General Knowledge
The 'Cattle Colony' debate in Nigeria is related to conflicts between which groups?,Herdsmen and farmers,Fishermen and oil companies,Farmers and miners,Youth gangs and police,A,current_affairs,medium,General Knowledge
Biafra Veterans Day in Nigeria is marked on which date?,January 15,May 30,October 1,June 12,A,history,hard,General Knowledge
"The Nigerian Civil War ended on January 15, 1970 with the famous surrender broadcast by which Biafran leader?",Philip Effiong,Odumegwu Ojukwu,Emeka Anyaoku,Alex Madiebo,A,history,hard,General Knowledge
"Odumegwu Ojukwu, the Biafran leader, died in which year?",2011,2005,2015,2008,A,history,medium,General Knowledge
"Peter Obi, the 2023 Labour Party presidential candidate, was formerly governor of which state?",Anambra,Enugu,Imo,Abia,A,politics,medium,General Knowledge
The 'Obidient' movement was associated with which 2023 presidential candidate?,Peter Obi,Atiku Abubakar,Bola Tinubu,Rabiu Kwankwaso,A,politics,medium,General Knowledge
Ngozi Okonjo-Iweala became the first African and first woman to lead the WTO in which year?,2021,2019,2023,2017,A,current_affairs,medium,General Knowledge
Nigeria's Guaranty Trust Bank is now known by what name?,GTCo (Guaranty Trust Holding Company),GTB Holdings,GT Financial Group,GTBank Group,A,current_affairs,medium,General Knowledge
Jim Ovia founded which Nigerian bank?,Zenith Bank,First Bank,UBA,Access Bank,A,current_affairs,medium,General Knowledge
Which Nigerian bank was formerly known as First Bank of Nigeria?,First Bank,Access Bank,United Bank for Africa,Fidelity Bank,A,current_affairs,easy,General Knowledge
The slogan 'Heart of Africa' is associated with which Nigerian state?,Cross River,Benue,Ogun,Enugu,A,current_affairs,medium,General Knowledge
Benue State is known as the 'Food Basket of the Nation' primarily because of its production of what?,Agricultural produce/yams and rice,Oil,Minerals,Livestock,A,current_affairs,easy,General Knowledge
Which Nigerian state is known as the 'Gem of the Plateau'?,Plateau,Kaduna,Niger,Taraba,A,government,easy,General Knowledge
Kaduna State's capital Kaduna was built as a planned colonial city by which British official?,Lord Lugard,Hugh Clifford,Walter Egerton,James Robertson,A,history,hard,General Knowledge
What is the total land area of Nigeria approximately?,"923,768 sq km","750,000 sq km","1,200,000 sq km","600,000 sq km",A,history,medium,General Knowledge
Nigeria shares its longest border with which country?,Niger,Chad,Cameroon,Benin Republic,A,history,medium,General Knowledge
How many countries share a border with Nigeria?,4,3,5,6,A,history,easy,General Knowledge
Which Nigerian state has the longest coastline?,Ondo,Lagos,Delta,Rivers,A,history,hard,General Knowledge
The Mandara Mountains are found along Nigeria's border with which country?,Cameroon,Chad,Niger,Benin,A,history,hard,General Knowledge
"Nigeria's highest peak is Chappal Waddi, located in which state?",Taraba,Adamawa,Plateau,Benue,A,history,hard,General Knowledge
The Jos Plateau in Nigeria is known for mining which mineral?,Tin and columbite,Gold,Diamonds,Iron ore,A,history,medium,General Knowledge
The Sahel belt in Nigeria is found in which states?,"Borno, Yobe, Katsina","Lagos, Ogun, Oyo","Rivers, Delta, Bayelsa","Anambra, Enugu, Imo",A,history,medium,General Knowledge
What is the name of Nigeria's longest river?,Niger River,Benue River,Sokoto River,Kaduna River,A,history,easy,General Knowledge
The confluence of the Niger and Benue rivers is at which Nigerian city?,Lokoja,Abuja,Makurdi,Onitsha,A,history,medium,General Knowledge
The Afang soup from Cross River and Akwa Ibom states is made from what primary vegetable?,Afang (wild spinach) leaves,Bitter leaf,Ukazi leaves,Waterleaf,A,culture,hard,General Knowledge
Ofe Onugbu is a popular Igbo soup. Onugbu refers to what ingredient?,Bitter leaf,Uziza leaf,Ugu leaf,Ora leaf,A,culture,hard,General Knowledge
The Sallah celebration in Nigeria marks which Islamic holiday?,Eid al-Adha and Eid al-Fitr,Christmas,Easter,Diwali,A,culture,easy,General Knowledge
Kente cloth is sometimes worn in Nigeria but is originally from which country?,Ghana,Nigeria,Ivory Coast,Benin Republic,A,culture,medium,General Knowledge
"The famous Benin City moat (Iya) is considered one of the largest man-made earthworks in the world, built approximately when?",800-1400 AD,100-400 AD,1500-1800 AD,1200-1600 AD,A,culture,hard,General Knowledge
The Gelede masquerade is a tradition of which people?,Yoruba,Igbo,Efik,Ijaw,A,culture,medium,General Knowledge
"Amapiano music, sometimes played at Nigerian parties, originates from which country?",South Africa,Nigeria,Ghana,Kenya,A,culture,easy,General Knowledge
Which Nigerian musician released the hit song 'One Dance' with Drake?,Wizkid,Davido,Burna Boy,Tiwa Savage,A,culture,easy,General Knowledge
D'banj's breakthrough song 'Oliver Twist' was released in which year?,2012,2010,2014,2008,A,culture,medium,General Knowledge
P-Square is a Nigerian music duo made up of which twin brothers?,Peter and Paul Okoye,Emmanuel and Christian Obi,Ikechukwu and Chukwuemeka,Lanre and Lekan Alabi,A,culture,medium,General Knowledge
Nigeria's Victor Osimhen plays as what position in football?,Striker,Midfielder,Defender,Goalkeeper,A,sports,easy,General Knowledge
Victor Osimhen plays for which Nigerian club at international level?,Super Eagles,He plays only for clubs,Delta Force,Lagos Stars,A,sports,easy,General Knowledge
At which club did Victor Osimhen win the Serie A title in 2023?,Napoli,Juventus,Inter Milan,AC Milan,A,sports,medium,General Knowledge
Asisat Oshoala plays for which club in Europe?,Barcelona Femeni,Chelsea FC Women,Arsenal Women,Lyon Feminin,A,sports,medium,General Knowledge
Nigeria's Moses Simon plays in which European league?,French Ligue 1,English Premier League,Spanish La Liga,German Bundesliga,A,sports,medium,General Knowledge
"Frank Onyeka, the Nigerian midfielder, plays in which league as of 2023?",English Premier League,Bundesliga,Serie A,La Liga,A,sports,medium,General Knowledge
The Warri Wolves football club is based in which Nigerian state?,Delta,Rivers,Edo,Bayelsa,A,sports,medium,General Knowledge
Nigeria's first World Cup appearance in 1994 was in which country?,USA,France,Germany,Italy,A,sports,easy,General Knowledge
"At the 2018 World Cup, Nigeria was in the same group as which country that won the tournament?",France,Germany,Brazil,Spain,A,sports,medium,General Knowledge
Nigerian footballer Emmanuel Amuneke scored the winning goal in the 1994 Nations Cup final against which country?,Zambia,Ivory Coast,Ghana,Senegal,A,sports,hard,General Knowledge
Rotimi Amaechi served as minister of which portfolio under Buhari?,Transportation,Petroleum,Finance,Defence,A,politics,medium,General Knowledge
The Abuja National Mosque is one of the largest mosques in which region?,West Africa,Sub-Saharan Africa,North Africa,East Africa,A,culture,medium,General Knowledge
The National Christian Centre in Abuja was dedicated in which year?,2005,2000,1999,2010,A,government,hard,General Knowledge
Nigeria's electoral umpire INEC was established by which constitution?,1999 constitution,1979 constitution,1989 constitution,1963 constitution,A,government,medium,General Knowledge
The governorship term in Nigerian states is how many years?,4,5,6,3,A,government,easy,General Knowledge
A state governor in Nigeria can serve a maximum of how many terms?,Two,Three,One,Unlimited,A,government,easy,General Knowledge
Which Nigerian state was the first to introduce Sharia law in 2000?,Zamfara,Kano,Sokoto,Kebbi,A,politics,medium,General Knowledge
How many Nigerian states currently practice Sharia law in criminal matters?,12,9,15,6,A,politics,medium,General Knowledge
The Federal Capital Territory (FCT) is administered by who?,FCT Minister appointed by the President,Elected governor,Senate appointed commissioner,Directly by the president,A,government,medium,General Knowledge
Nigeria became a member of OPEC in which year?,1971,1965,1975,1979,A,history,hard,General Knowledge
Nigeria's GDP is primarily driven by which sector?,Services sector,Oil sector,Agriculture,Manufacturing,A,current_affairs,hard,General Knowledge
Nigeria is the largest economy in Africa by nominal GDP. What is its approximate GDP as of 2023?,$477 billion,$300 billion,$600 billion,$200 billion,A,current_affairs,hard,General Knowledge
Agriculture employs approximately what percentage of Nigeria's workforce?,36%,20%,50%,10%,A,current_affairs,hard,General Knowledge
Nigeria's Vision 2020 plan was meant to make Nigeria one of the top how many economies?,20,30,50,10,A,government,medium,General Knowledge
The ERGP (Economic Recovery and Growth Plan) was a policy document of which Nigerian president?,Muhammadu Buhari,Goodluck Jonathan,Olusegun Obasanjo,Bola Tinubu,A,politics,medium,General Knowledge
The Lagos Free Trade Zone is located in which area?,Ibeju-Lekki,Apapa,Ikeja,Badagry,A,current_affairs,hard,General Knowledge
Which Nigerian state has the highest GDP?,Lagos,Rivers,Kano,Delta,A,current_affairs,medium,General Knowledge
The Ajaokuta Steel Company is located in which state?,Kogi,Benue,Niger,Kwara,A,history,medium,General Knowledge
The Nigerian Liquefied Natural Gas (NLNG) plant is located in which state?,Rivers (Bonny Island),Delta,Bayelsa,Akwa Ibom,A,current_affairs,medium,General Knowledge
Which country is Nigeria's largest trading partner for non-oil exports?,India,China,USA,UK,A,current_affairs,hard,General Knowledge
Nigeria's first Nobel laureate Wole Soyinka was a professor at which university?,University of Ibadan,University of Lagos,Obafemi Awolowo University,University of Nigeria,A,culture,medium,General Knowledge
The Nigerian Academy of Science was founded in which year?,1977,1960,1985,1970,A,government,hard,General Knowledge
Philip Emeagwali is a Nigerian computer scientist known for what achievement?,Supercomputer speed record in 1989,Inventing email,Creating the internet,Developing mobile phones,A,current_affairs,hard,General Knowledge
The West African Examinations Council (WAEC) was established in which year?,1952,1945,1960,1948,A,history,hard,General Knowledge
Nigeria's Joint Admissions and Matriculation Board (JAMB) was established in which year?,1978,1970,1982,1975,A,government,medium,General Knowledge
The National Universities Commission (NUC) in Nigeria is responsible for what?,Regulating universities,Running universities,Funding research,Student loans,A,government,medium,General Knowledge
"As of 2023, approximately how many universities are there in Nigeria (public and private)?",Over 200,About 50,About 100,About 150,A,current_affairs,hard,General Knowledge
Nigeria's University of Lagos gained notoriety in 2012 when a professor was caught doing what?,Requesting sexual favors for grades,Embezzling student funds,Selling exam questions,Faking research results,A,current_affairs,hard,General Knowledge
The Government Technical College system in Nigeria was established primarily by which government?,British colonial government,Obasanjo's government,Gowon's government,Awolowo's Western Region,D,history,hard,General Knowledge
Nigeria's free and universal primary education was first introduced in the Western Region in which year?,1955,1960,1952,1963,A,history,hard,General Knowledge
The Cross River National Park is home to which endangered primate?,Cross River gorilla,Mountain gorilla,Chimpanzee,Bonobo,A,current_affairs,medium,General Knowledge
Yankari National Park is located in which Nigerian state?,Bauchi,Plateau,Taraba,Gombe,A,current_affairs,easy,General Knowledge
The Kainji Dam on the Niger River is located in which state?,Niger,Kwara,Kebbi,Kogi,A,history,medium,General Knowledge
Nigeria's largest lake is which one?,Lake Chad (shared),Kainji Lake,Jebba Lake,Shiroro Lake,A,history,medium,General Knowledge
The tropical rainforest in Nigeria is concentrated in which region?,South and Southeast,North,Central,West only,A,history,easy,General Knowledge
The mangrove forests of Nigeria are primarily found in which region?,Niger Delta,Lagos coast only,Cross River,Ogun coastline,A,history,easy,General Knowledge
Nigeria's climate is primarily what type in the south?,Tropical (wet and dry),Desert,Mediterranean,Temperate,A,history,easy,General Knowledge
The Sahara Desert influence is most felt in which part of Nigeria?,Extreme Northeast,Northwest,North Central,All northern states equally,A,history,medium,General Knowledge
Nigeria's annual rainy season in the south typically lasts how long?,8-9 months,4-5 months,6-7 months,3-4 months,A,history,medium,General Knowledge
Harmattan is a seasonal wind in Nigeria that blows from which direction?,Northeast (from the Sahara),Southwest (from the Atlantic),Northwest,Southeast,A,history,medium,General Knowledge
Nigeria has the world's largest burden of which disease?,Malaria,HIV/AIDS,Tuberculosis,Cholera,A,current_affairs,medium,General Knowledge
NAFDAC in Nigeria was famously led by which director who fought counterfeit drugs?,Dora Akunyili,Mojisola Adeyeye,Paul Orhii,Aminu Ibrahim,A,current_affairs,medium,General Knowledge
Dora Akunyili served as NAFDAC director under which Nigerian president?,Olusegun Obasanjo,Goodluck Jonathan,Umaru Yar'Adua,Muhammadu Buhari,A,current_affairs,medium,General Knowledge
Nigeria's National Primary Health Care Development Agency focuses on what level of healthcare?,Primary,Secondary,Tertiary,All levels equally,A,government,medium,General Knowledge
Which Nigerian hospital is considered one of the most advanced medical facilities in West Africa?,Lagos University Teaching Hospital,National Hospital Abuja,University College Hospital Ibadan,Eko Hospital,A,current_affairs,hard,General Knowledge
Polio was declared eradicated in Nigeria in which year?,2020,2014,2016,2018,A,current_affairs,medium,General Knowledge
Nigeria was declared polio-free by the WHO after how many years of zero recorded cases?,4 years after last case in 2016,2 years,5 years,3 years,A,current_affairs,hard,General Knowledge
The COVID-19 pandemic in Nigeria: the first confirmed case was recorded in which month and year?,February 2020,March 2020,January 2020,April 2020,A,current_affairs,medium,General Knowledge
Nigeria's National Health Insurance Scheme was restructured under the National Health Insurance Authority Act in which year?,2022,2018,2020,2016,A,government,hard,General Knowledge
